,edinburgh,stockholm,petrograd,riga,kobenhavn,danzig,london,amsterdam,essen,berlin,warszawa,wilno,smolensk,moskva,brest,dieppe,bruxelles,frankfurt,munchen,paris,wien,kyiv,budapest,kharkov,zurich,venezia,zagreb,bucuresti,rostov,sevastopol,sochi,sarajevo,marseille,roma,brindisi,pamplona,madrid,barcelona,lisboa,cadiz,palermo,athina,constantinople,smyrna,angora,erzurum,sofia
edinburgh,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stockholm,,,8,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
petrograd,,8,,4,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riga,,,4,,,3,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kobenhavn,,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danzig,,,,3,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
london,4,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amsterdam,,,,,,,2,,3,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essen,,,,,3,,,3,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berlin,,,,,,4,,,2,,4,,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
warszawa,,,,,,2,,,,4,,3,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
wilno,,,4,4,,,,,,,3,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
smolensk,,,,,,,,,,,,3,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
moskva,,,4,,,,,,,,,,2,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
brest,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,4,,,,,,,,,,,
dieppe,,,,,,,2,,,,,,,,2,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
bruxelles,,,,,,,,1,,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurt,,,,,,,,2,2,3,,,,,,,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
munchen,,,,,,,,,,,,,,,,,,2,,,3,,,,2,2,,,,,,,,,,,,,,,,,,,,,
paris,,,,,,,,,,,,,,,3,1,2,3,,,,,,,3,,,,,,,,4,,,4,,,,,,,,,,,
wien,,,,,,,,,,3,4,,,,,,,,3,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,
kyiv,,,,,,,,,,,4,2,3,,,,,,,,,,6,4,,,,4,,,,,,,,,,,,,,,,,,,
budapest,,,,,,,,,,,,,,,,,,,,,1,6,,,,,2,4,,,,3,,,,,,,,,,,,,,,
kharkov,,,,,,,,,,,,,,4,,,,,,,,4,,,,,,,2,,,,,,,,,,,,,,,,,,
zurich,,,,,,,,,,,,,,,,,,,2,3,,,,,,2,,,,,,,2,,,,,,,,,,,,,,
venezia,,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,,,,,2,,,,,,,,,,,,,
zagreb,,,,,,,,,,,,,,,,,,,,,2,,2,,,2,,,,,,3,,,,,,,,,,,,,,,
bucuresti,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,4,,,,,,,,,,,,,3,,,,2
rostov,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,4,2,,,,,,,,,,,,,,,,
sevastopol,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,2,,,,,,,,,,,,4,,,4,
sochi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,3,
sarajevo,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,4,,,,,2
marseille,,,,,,,,,,,,,,,,,,,,4,,,,,2,,,,,,,,,4,,4,,4,,,,,,,,,
roma,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,4,,2,,,,,,4,,,,,,
brindisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,4,,,,,
pamplona,,,,,,,,,,,,,,,4,,,,,4,,,,,,,,,,,,,4,,,,3,2,,,,,,,,,
madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,3,3,,,,,,,
barcelona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,2,,,,,,,,,,
lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,,
cadiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,
palermo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,6,,,
athina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,,,,,,,,,2,,,3
constantinople,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,4,,,,,,,,,,,,,,2,2,,3
smyrna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,2,,3,,
angora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,3,
